# nodes,no graph,no pair,# ant types,% success/100tests,% partial success,time(s),(mincut,src,dst
25,1,1,2,100.0,0.0,6.8,3.0,13,3
25,1,1,3,100.0,0.0,13.51,3.0,13,3
25,1,1,4,96.0,4.0,27.35,3.0,13,3
25,1,2,2,54.0,46.0,9.3,6.0,23,2
25,1,2,3,12.0,88.0,23.89,6.0,23,2
25,1,2,4,2.0,98.0,39.26,6.0,23,2
25,1,3,2,100.0,0.0,13.43,4.0,23,10
25,1,3,3,100.0,0.0,21.65,4.0,23,10
25,1,3,4,55.0,45.0,36.73,4.0,23,10
25,1,4,2,100.0,0.0,8.14,3.0,13,3
25,1,4,3,100.0,0.0,18.28,3.0,13,3
25,1,4,4,93.0,7.0,30.72,3.0,13,3
25,2,0,2,9.0,34.0,12.8,3.0,20,8
25,2,0,3,7.0,35.0,23.98,3.0,20,8
25,2,0,4,2.0,56.0,40.16,3.0,20,8
25,2,1,2,91.0,0.0,16.45,2.0,10,13
25,2,1,3,98.0,2.0,28.57,2.0,10,13
25,2,1,4,86.0,14.0,45.66,2.0,10,13
25,2,2,2,54.0,0.0,17.19,2.0,9,22
25,2,2,3,32.0,45.0,31.81,2.0,9,22
25,2,2,4,32.0,42.0,40.96,2.0,9,22
25,2,3,2,60.0,40.0,8.36,3.0,8,23
25,2,3,3,15.0,85.0,16.67,3.0,8,23
25,2,3,4,25.0,75.0,28.55,3.0,8,23
25,2,4,2,94.0,0.0,11.31,3.0,14,4
25,2,4,3,74.0,26.0,23.51,3.0,14,4
25,2,4,4,53.0,43.0,32.65,3.0,14,4
30,0,0,2,34.0,66.0,17.76,2.0,26,15
30,0,0,3,99.0,1.0,28.99,2.0,26,15
30,0,0,4,100.0,0.0,47.69,2.0,26,15
30,0,1,2,2.0,41.0,16.45,2.0,26,9
30,0,1,3,32.0,38.0,30.9,2.0,26,9
30,0,1,4,31.0,30.0,49.47,2.0,26,9
30,0,2,2,24.0,60.0,16.86,2.0,23,4
30,0,2,3,31.0,66.0,28.32,2.0,23,4
30,0,2,4,58.0,33.0,46.81,2.0,23,4
30,0,3,2,74.0,3.0,18.44,2.0,22,1
30,0,3,3,54.0,46.0,32.86,2.0,22,1
30,0,3,4,43.0,53.0,49.75,2.0,22,1
30,0,4,2,77.0,0.0,17.35,2.0,0,22
